FEAT,LAT,LONG,DIMEN( km),MVC#,C1-MIDR,FMIDR,    COMMENTS,NAMES,OTHER CLASSIFICATIONS
AR,45.5,12,150,45.5/12AR,45N011,,,[Audhumla Corona],"CO, Ref 1"
AR,46,198,200x100, 46/198AR,45N202,,"""Doublet""-type",Razia Patera,
AR,45.5,213,100X75, 45.5/213AR,45N223,,"Located on structure belt, some associated flows",,
AR,45.5,231,75,45.5/231AR,45N223,,,,
AR,45,19.5,70, 45/19.5AR,45N011,45N019;1,,,
AR,44,14,120, 44/14AR,45N011,45N019;1,Central SF,,
AR,44,16.5,125, 44/16.5AR,45N011,45N019;1,,,
AR,43,3,100, 43/3AR,45N011,45N004;1,,[Vasudhara Corona],"CO, Ref 1"
AR,43,218,100, 43/218AR,45N223,45N019;1,,,
AR,42.5,46,100,42.5/46AR,45N053;201,,Small shield in interior; fracture trend crosses tessera,Stopes Patera,
AR,42.5,215,220x140, 42.5/215AR,45N223,,,Tituba Patera,
AR,37.5,290.5,150,37.5/290.5AR,45N286,,Sm shields in interior; Radar dark interior,,
AR,42,222,150x100, 42/222AR,45N223,,,,
AR,41.5,218,170, 41.5/218AR,45N223,,Includes an inner circle of fractures,,
AR,41.5,306.5,130, 41.5/306.5AR,45N307,,Located on fracture belt ,,
AR,41,18.5,150, 41/18.5AR,45N011,40N018;1,Multi-ring interior,Trotula Patera,"CO, Ref 1"
AR,41,48,150x100,41/48AR,45N053;201,,At intersection of three structural trends,,
AR,41,288.5,70, 41/288.5AR,45N286,40N286;1,"Interior circular feature surrounded by radar dark flows, radial fractures to 1200 km diam; located at NE end of Devana Chasma",,"CO, Ref 1"
AR,40.5,212.5,150,40.5/212.5AR,45N223,,150 km concentric pattern; very radial structure,,
AR,40,13,100, 40/13AR,45N011,,,,
AR,40,194,80, 40/194AR,45N202,40N194;1,Not well-defined; some possible radial flows,,
AR,40,307.5,130, 40/307.5AR,45N307,,Located on fracture belt,,
AR,39.5,20.5,100x70, 39.5/20.5AR,45N011,40N018;1,,Yaroslavna Patera,
AR,38.5,19,75, 38.5/19AR,45N011,40N018;1,,,
AR,38.5,217,150, 38.5/217AR,45N223,,Radial flows; may be transitional to LV; some interior volc. features; a few associated radial flows cut by structure; excellent example,,
AR,38,15,65, 38/15AR,45N011,40N018;1,,Cavell Patera,
AR,37.5,67.5,100, 37.5/67.5AR,30N063,,,[Olwen Corona],"CO, Ref 1"
AR,37.5,206,150x130, 37.5/206AR,45N202,35N210;1,SF in interior; part of chain of features connected by structure w/associated sm shields,,"CO, Ref 1"
AR,37,16.5,100, 37/16.5AR,30N009,,Faint circular structure,,
AR,35,36,50, 35/36AR,30N045,,Surrounded by or superimposed on poorly defined CO-like concentric structural pattern 250 km in diameter,Hroswithu Patera?,
AR,35.5,207,150,35.5/207AR,30N207,35N210;1,Circular; concentric and radial fractures,,
AR,35,271,130, 35/271AR,30N261,35N270;1,Located on rift trend,,
AR,34,267.5,75x50, 34/267.5AR,30N261,35N270;1,Doublet-type; sits at intersection of fracture patterns; associated flows appear to bury tessera; transitional to LV? ,,
AR,33.5,57,100, 33.5/57AR,30N063,,,[Kayanu-Hime Corona],"CO, Ref 1"
AR,33.5,263,100, 33.5/263AR,30N261,30N262;1,Radar bright central region,,
AR,33,204.5,90, 33/204.5AR,30N207,,Circular,,
AR,33,306,100x75, 33/306AR,30N297,35N303;1,Associated SSD; CD-like,,
AR,32.5,326.5,200x150,32.5/326.5AR,30N333;2,,Multiple centers; radial fractures; SF on rim; associated LF on western edge; sm sh in interior,[Renenti Corona],
AR,32,38.5,60x30, 32/38.5AR,30N045,30N041;201,Doublet CD-like,,
AR,31,250,160, 31/250AR,30N243,,"Faint and ""ghost-like""; a few small shields in interior",,"CO, Ref 1"
AR,30.5,245.5,150, 30.5/245.5AR,30N243,,Concentric pattern not well defined (irregular); possible smaller AR on margin,,"CO, Ref 1"
AR,30,24,75x100, 30/24AR,30N027,,Part of apparent chain along fracture area oriented NW-SE,,
AR,29,205.5,80, 29/205.5AR,30N207,,SF in interior,,
AR,28,198.5,≤60, 28/198.5AR,30N189,,At least 5 small circular caldera-like(?) centers: just north of LV at 25.5/198,,
AR,28,198.5,≤60, 28/198.5AR,30N189,,At least 5 small circular caldera-like(?) centers: just north of LV at 25.5/198,,
AR,28,198.5,≤60, 28/198.5AR,30N189,,At least 5 small circular caldera-like(?) centers: just north of LV at 25.5/198,,
AR,28,198.5,≤60, 28/198.5AR,30N189,,At least 5 small circular caldera-like(?) centers: just north of LV at 25.5/198,,
AR,28,198.5,≤60, 28/198.5AR,30N189,,At least 5 small circular caldera-like(?) centers: just north of LV at 25.5/198,,
AR,29,27.5,150,29/27.5AR,30N027,,Ghost-like pattern of aNSFCular and converging fractures,,
AR,28,312,60, 28/312AR,30N315,,"Appears to be flat; defined by circular ""hole"" in fracture belt",,
AR,25.5,245,90, 25.5/245AR,30N243,,Multi-ring; lies on structural trend oriented NE w/chain-like appearance of CO and AR,,
AR,25,115,70, 25/115AR,30N117,25N119;1;201,,,
AR,25,313,130, 25/313AR,30N315,,Pattern of buried fractures (maybe associated flows) out to radius of 100 km beyond AR; associated SSD on concentric margin,,
AR,23.5,218.5,100x70,23.5/218.5AR,30N225,25N119;1;201,Concentric and radial patterns,,
AR,23.5,199.5,70x50, 23.5/199.5AR,30N207,,Almost CD(?) in appearance,,
AR,22.5,240,100, 22.5/240AR,30N243,20N238;1,"""SFC-like"" interior",,
AR,22,114,70, 22/114AR,30N117,,,,
AR,22,202,70-80, 22/202AR,15N197,20N204;1,Faint structure pattern,,
AR,21.5,201,20, 21.5/201AR,15N197,20N198;1,Prominent radial pattern,,
AR,21,56.5,100, 21/56.5AR,15N060,,Some concentric interior patterns,,
AR,18,224,100x80, 18/224AR,15N232,20N227;1,"""CD-like"" flat, Radar dark floor",,
AR,18,341,100, 18/341AR,15N335,,Double ring,[Chiun Corona],"CO, Ref 1"
AR,16.5,202.5,100,16.5/202.5AR,15N197,,,,
AR,16.5,200.5,50,16.5/200.5AR,15N197,,,,
AR,17,63.5,80, 17/63.5AR,15N060,,,,
AR,16,132,150, 16/132AR,15N129,15N129;1,Some radial structure,[Kubebe Corona],"CO, Ref 1"
AR,16,343,80,16/343AR,15N335,15N340;1,Circle of fractures,[Benten Corona],
AR,15,221,150x80, 15/221AR,15N215,15N220;1,Radar dark floor,,
AR,14.5,6.5,100, 14.5/6.5AR,15N009,,Located along fracture belt,,
AR,14,6,50, 14/6AR,15N009,,Adjacent to AR at 14.5/6.5,,
AR,14,65,80, 14/65AR,15N060,,,,
AR,14,111,80, 14/111AR,15N112,15N111;1;201,"Semi-circular crescent-shaped ""mesa"" features on rim",[Dhisana Corona],"CO, Ref 1"
AR,14,255,80, 14/255AR,15N249,,"Subdued appearance; Located on ""rift"" trend",,"CO, Ref 1"
AR,14,256.5,100X75, 14/256.5AR,15N249,,,,"CO, Ref 1"
AR,13.5,226.5,200x150, 13.5/226.5AR,15N232,,Subdued appearance; on NE flank of LV,,"CO, Ref 1"
AR,12.5,253,150,12.5/253AR,15N249,,,,
AR,12,90,100, 12/90AR,15N095,,Faint; on ridge belt; indents the belt,,
AR,11,6.5,200x150, 11/6.5AR,15N009,,Elongated along a fracture belt that has a series of possible faint smaller AR along it,,
AR,10,9,80, 10/9AR,15N009,,Along fracture belt,,
AR,10,95,100, 10/95AR,15N095,10N097;1,Faint ring,,
AR,10,205,100, 10/205AR,15N197,10N205;1,,,
AR,9,233.5,150x100,9/233.5AR,15N232,10N223;1,Very subdued in appearance; smooth Radar dark interior,,
AR,10,246,150, 10/246AR,15N249,,"Located on ""rift""-like trend at 10 deg. SFC",,"CO, Ref 1"
AR,10,251.5,100, 10/251.5AR,15N249,,Radar bright ring; concentric fractures out to 250 km,,
AR,9.5,254.5,100, 9.5/254.5AR,15N249,,Relatively circular,,"CO, Ref 1"
AR,8.5,92,120, 8.5/92AR,15N095,,"Double ring, on deformation belt ",[Atse Estsan Corona],"CO, Ref 1"
AR,8,247.5,100X75, 8/247.5AR,15N249,,,,"CO, Ref 1"
AR,7,233.5,60X40, 7/233.5AR,00N232,10N233;1,,,
AR,5.5,78,100x60, 5.5/78AR,00N077,05N076;1,Obscured by thru-fractures; elongate,,
AR,5.5,169,100, 5.5/169AR,00N163,,clear example,,
AR,5.5,313,60, 5.5/313AR,00N317,,Distal ends of fracture pattern are buried by plains,,"CO, Ref 1"
AR,5,11,70, 5/11AR,00N009,,Possible radial flow patterns,,
AR,4,169.5,80x60, 4/169.5AR,00N163,,Irregular shape,,
AR,2.5,219,100x80,2.5/219AR,00N215,05N115;201,,,
AR,2.5,231.5,150, 2.5/231.5AR,00N232,,Radar dark 70x40 km center (presumed to be lava flows; very radar dark edges and radar bright center),,
AR,2.5,280,50, 2.5/280AR,00N283,00N278;1,CO-like; part of a triplet w/AR 3/280 and AR 2.5/280.5; some Radar bright flows radial to this AR,,
AR,2.5,280.5,140, 2.5/280.5AR,00N283,00N278;1,"Central SF, AR is part of a triplet w/AR 3/280 and 2.5/280",,"CO, Ref 1"
AR,1.5,296,80,1.5/296AR,00N300,,Not well-defined; concentric pattern overprinted by radial fractures; possible central concentric structures,,
AR,1,282,150x90, 1/282AR,00N283,00N284;1,,,"CO, Ref 1"
AR,0.5,255,150X100, 0.5/255AR,00N249,,Subdued appearance; assoc. interior small shields,,
AR,0,125,100-150, 0/125AR,00N129,,"""Doublet"" arachnoid; (100, 150 km) within 300 km diam CO-like source of flows that bury tessera; small LC",[Rosemerta Corona],"CO, Ref 1"
AR,0,236.5,100, 0/236.5AR,00N232,,,,
AR,0,240.5,100, 0/240.5AR,00N232,,,,
AR,-1,134.5,100x60, -1/134.5AR,00N129,00N132;1,Radial fractures,[Blai Corona],"CO, Ref 1"
AR,-1,231,100, -1/231AR,00N232,,"Partially buried on east side; has Radar bright fractured circular ""proto-SSD"" on inner east rim",,
AR,-1.5,215,150, -1.5/215AR,00N215,00N217;1,Located on fracture belt w/chain of several AR-appearing features,,"CO, Ref 1"
AR,-1.5,242.5,150X100, -1.5/242.5AR,00N249,,Almost forms a doublet w/AR at -1.5/254.5--both on structural trend,,
AR,-1.5,254.5,90, -1.5/254.5AR,00N249,,,,
AR,-2,170,60, -2/170AR,00N163,,Irregular shape,,
AR,-3,220.5,150x80, -3/220.5AR,00N215,05S217;1,,,"CO, Ref 1"
AR,-3,243,80, -3/243AR,00N249,,,,"CO, Ref 1"
AR,-3.5,260,130, -3.5/260AR,00N266,,,,"CO, Ref 1"
AR,-4,152,150x75, -4/152AR,00N146,05S149;1,Elongated perpendicular to thru-going fracture trend,[Seia Corona?],
AR,-4.5,259,75, -4.5/259AR,00N266,,,,
AR,-4.5,261.5,150x180, -4.5/261.5AR,00N266,,Central SF,,
AR,-4.5,329.5,100, -4.5/329.5AR,00N335;301,,Not well-defined circular center w/some radial structure,,
AR,-5,175,150, -5/175AR,00N180,05S177;1,"Elongate, located on structure trend",[Eigin Corona],"CO, Ref 1"
AR,-5,232.5,80, -5/232.5AR,00N232,,,,"CO, Ref 1"
AR,-5.5,235.5,80, -5.5/235.5SR,00N232,,Subdued appearance,,"CO, Ref 1"
AR,-6,261.5,80, -6/261.5AR,00N266,,clear example; well-defined radial patterns,,"CO, Ref 1"
AR,-6.5,143,100x60, -6.5/143AR,00N146,,,,
AR,-7,145,200x100, -7/145AR,00N146,05S149;1,,,
AR,-9,90,150, -9/90AR,15S095,10S087;1;201,Nearly obscured by thru-fractures,,
AR,-9,259.5,80, -9/259.5AR,15S266,,Faint.,,
AR,-9,341,50, -9/341AR,15S335,,Radar bright/radar dark flows and plains,,
AR,-11,338,70, -11/338AR,15S335,10S335;1,,,
AR,-11.5,33,100-150, -11.5/33AR,15S026,,SF in interior,,
AR,-11.5,44,150, -11.5/44AR,15S043,,Outer and inNEr concentric structure; a few small shields in interior,,
AR,-12.5,32,150, -12.5/32AR,15S026,,"Faint, some Radar bright flows interior",,
AR,-14,223.5,100-150, -14/223.5AR,15S232,15S220;1;201,Includes 3 possible AR coalesced in region 250x225 km; not well-defined structures,,
AR,-14,223.5,100-150, -14/223.5AR,15S232,15S220;1;201,Includes 3 possible AR coalesced in region 250x225 km; not well-defined structures,,
AR,-14,223.5,100-150, -14/223.5AR,15S232,15S220;1;201,Includes 3 possible AR coalesced in region 250x225 km; not well-defined structures,,
AR,-14,229,60, -14/229AR,15S232,15S226;1,Strong radial pattern,,
AR,-15,310,100, -15/310AR,15S317,,Smaller inner feature within larger area; not well-defined,,
AR,-15.5,188,150, -15.5/188AR,15S180,,Concentric and Thru-going linear fractures;,,
AR,-16,348,150, -16/348AR,15S352,,,,"CO, Ref 1"
AR,-16.5,352,80x60, -16.5/352AR,15S352,,Doublet on Alpha margin,,
AR,-16.5,224,150x100, -16.5/224AR,15S232,15S226;1,,,
AR,-17.5,227.5,75x50, -17.5/227.5AR,15S232,,,,
AR,-18,201,140, -18/201AR,15S197,15S226;1;201,Asociated with possible small AR's,,
AR,-18.5,234,150, -18.5/234AR,15S232,20S204;1,Coalesced cluster of several; total is 150 km; part of group of AR,,"CO, Ref 1"
AR,-18.5,234,150, -18.5/234AR,15S232,20S233;1,Coalesced cluster of several; total is 150 km; part of group of AR,,
AR,-19,221.5,200x150, -19/221.5AR,15S215,20S233;1,Inner circular feature about 80 km and strong radial fractures,,
AR,-19,232.5,140, -19/232.5AR,15S232,20S221;1;201,Part of group of at least 3 AR and one CD-like AR,,"CO, Ref 1"
AR,-19.5,234.5,150, -19.5/234.5AR,15S232,20S233;1,,,"CO, Ref 1"
AR,210,230,140X100, -20/230AR,15S232,,Part of group of ARs,,
AR,-20,230,140x100, -20/230AR,15S232,20S233;1,,,
AR,-20,241,70, -20/241AR,15S249,20S227;1;201,"Faint, ""ghost""-like; faint radial structure (very fine scale)",,"CO, Ref 1"
AR,-20,343,75x100, -20/343AR,15S335,,,,
AR,-21.5,271,200x100, -21.5/271AR,15S266,20S221;1;201,Some associated radial flows,,
AR,-23.5,229.5,100, -23.5/229.5AR,30S225,,60 km circular AR-like feature on west edge of 100 km AR,,"CO, Ref 1"
AR,-23.5,229.5,60, -23.5/229.5AR,30S225,,60 km circular AR-like feature on west edge of 100 km AR,,
AR,-24.5,266,80, -24.5/266AR,30S261,,On south edge of CO,,
AR,-25,211,100, -25/211AR,30S207,,"Circular, interior fractures",,
AR,-25.5,195.5,90, -25.5/195.5AR,30S189,,,,
AR,-26.5,299.5,120x80, -26.5/299.5AR,30S297,25S198;1;201,Not well-defined concentric pattern; thru-going fracture pattern; superposed SF in interior,,
AR,-27,154,150, -27/154AR,30S153,,"Faint rings, degradialed appearance",[Mayaeul Corona],"CO, Ref 1"
AR,-27.5,216,100x150, -27.5/216AR,30S207,25S150;1,SF interior,,"CO, Ref 1"
AR,-27.5,266.5,150x100, -27.5/266.5AR,30S261,30S218;1,SFC-like feature on NE margin,,
AR,-28,165.5,100, -28/165.5AR,30S171,30S268;1,On linear fracture trend,,
AR,-28,270,150, -28/270AR,30S261,,SFC-like fractures centered on NW margin,,
AR,-28.5,258.5,170, -28.5/258.5AR,30S261,30S268;1,Radar dark interior; flooded(?),,
AR,-29,282,150, -29/282AR,30S279,30S262;1,"Very faint,buried(?); (eveSFC earlier rift zone?)",,
AR,-29.5,211,80, -29.5/211AR,30S207,,,,"CO, Ref 1"
AR,-30,118,60, -30/118AR,30S117,30S212;1,Concentric ring is 60 km diam; strong radial fractures outside ring,,
AR,-30,154,100, -30/154AR,30S153,,"Multi-ring, pristine appearance; central single small shield",,
AR,-30,245.5,130x160, -30/245.5AR,30S243,,,,
AR,-31,110,100, -31/110AR,30S117,,radial fractures and radial flows to south,,
AR,-32,280.5,150, -32/280.5AR,30S279,30S009;1,"""Ghost""; buried by flows from rift (may represent earlier rift zone)",,
AR,-32.5,219,80, -32.5/219AR,30S225,,radiating fractures,,
AR,-33,268,150x100, -33/268AR,30S261,30S218;1,not well-defined,,
AR,-34,66,90, -34/66AR,30S063,35S270;1,Half-circle,,
AR,-34,282,150X80, -34/282AR,30S279,,,,
AR,-34.5,199,100x70, -34.5/199AR,30S207,35S283;1,,,
AR,-34.5,276,100, -34.5/276AR,30S279,,Faint; area partially resurfaced,,
AR,-36.5,246,100x150, -36.5/246AR,30S243,,"One of ""doublet""; abundant small shields in interior",,
AR,-36.5,247.5,130x160, -36.5/247.5AR,30S243,35S243;1,"Multi-ring; one of ""doublet""",,
AR,-38,149,100, -38/149AR,45S159,,,[Teteoinnan Corona],
AR,-39,241,≤150, -39/241AR,45S244,40S201;1,"Irregular, ""ghost""-like",,
AR,-39.5,329.5,80, -39.5/329.5AR,45S329;301,40S244;1,CO-like w/sm sh; intersecting structural trends,,
AR,-40.5,288,80, -40.5/288AR,45S286,,"80k diam; one of 3 adjoining Radar dark floor, exterior small shields",,
AR,-41,289,80x50, -41/289AR,45S286,40S286;1,"One of 3 adjoining Radar dark floor, exterior sm. shields",,
AR,-41,289.5,70, -41/289.5AR,45S286,40S286;1,"One of 3 adjoining Radar dark floor, exterior sm. shields",,
AR,-41.5,265.5,100, -41.5/265.5AR,45S265,40S293;1,Circular; interior SF; faint,,
AR,-42,196,100, -42/196AR,45S202,,,,
AR,-42,256,100, -42/256AR,45S265,,Located on fracture trend; a few SSD-like IV's on south rim,,
AR,-42.5,245.5,150, -42.5/245.5AR,45S244,,Double ring; central SF,,"CO, Ref 1"
AR,-45,324,100, -45/324AR,45S329;202,40S244;1,On N-S structural trend,,
AR,-46.5,324.5,100, -46.5/324.5AR,45S329;202,,Radar dark center; on N-S structural trend,,
AR,-47,106,100, -47/106AR,45S117,,,,
AR,-47,209.5,80, -47/209.5AR,45S202,,,,
AR,-48,322.5,60, -48/322.5AR,45S329;202,,Partially embayed by radar dark plains,,
AR,-48.5,297,140x100, -48.5/297AR,45S286,,"Radar dark floor; partially buried by lava flows, SF on south rim",,
AR,-50,289.5,150, -50/289.5AR,45S286,,Small shields in interior,,
AR,-50.5,276,150x80, -50.5/276AR,45S286,,Defined on basis of concentric and radial patterns; no apparent topographic or geologic expression,,
AR,-51.5,289.5,80, -51.5/289.5AR,45S286,50S272;1,Circular,,
AR,-51.5,292,80, -51.5/292AR,45S286,,Radar dark floor; concentric graben on E flank; small shields exterior; FD on north margin,,
AR,-53,69,150, -53/69AR,60S070,,Flooded interior 50 km w/small shields; multi-ring;  3 adjoining structures,,
AR,-53,69,150, -53/69AR,60S070,,Flooded interior 50 km w/small shields; multi-ring;  3 adjoining structures,,
AR,-53,69,150, -53/69AR,60S070,,Flooded interior 50 km w/small shields; multi-ring;  3 adjoining structures,,
AR,-55.5,167,100x150, -55.5/168AR,60S153,,Concentric fractures w/radial linear fractures; associated small shields mainly on linear fractures,,
AR,-57,131,40, -57/131AR,60S125,55S171;1,,,
AR,-57.5,0,80, -57.5/0AR,60S347,,"One of a ""doublet"" of ARs at this site - this is the larger one; Radar dark interior(CD?); adjacent one is at -58.5/0",,
AR,-58.5,0,60, -58.5/0AR,60S347,60S005;1,One of a doublet; radial fractures more prominent than in larger adjacent AR at -57.5/0,,
AR,-62,42,170x200, -62/42AR,60S042,60S005;1,"radial and concentric fractures; ""flooded"" interior w/small shields within 50-60 km diam",[Toyo-uke Corona],
AR,-62,87,150, -62/87AR,60S070,,Fracture-type; on margin of CO at -60/85,,
AR,-62,241,100, -62/241AR,60S236,,,[Toyo-Uke Corona],"CO, Ref 1"
AR,-64,236,150x100, -64/236AR,60S236;201,,Irregular elongate shape; superposed ridges,,
AR,-66.5,209.5,150x80, -66.5/209.5AR,60S208,,Associated SF,,"CO, Ref 1"
AR,-79,169,140, -79/169AR,75S158;201,,Unusual Radar bright hummocky center w/sm sh; radial structural pattern; not well-defined concentric pattern,,
AR(2),-20.5,220,100, -20.5/220AR,15S215,,Adjoining features,,
AR(3),45,170,80, 45/170AR,45N180,,80 km central area with radiating lineaments ,,
AR?,78,20,75x150, 78/20AR,75N029,,"Elongate; radial flows; fractures, tessera margin",,
AR?,76.5,26,100x150, 76.5/26AR,75N029,,Irregular shape,,
AR?,67,251,100, 67/251AR,60N263,,Forms doublet with CO at 66/254,,
AR?,66.5,57,30-40, 66.5/57AR,60N042,,Radial fractures; elongate associated Radar dark plains; central concentric CD-like region,Anning Patera,
AR?,65.5,220,100x80, 65.5/220AR,60N208,,Some radial flows; characteristics appear gradialational to LV,,
AR?,62.5,79,100, 62.5/79AR,60N070,,Central small shields,,
AR?,54,152,70, 54/152AR,60N153,55N152;1,Simple ring structureal pattern,[Mari Corona],"CO, Ref 1"
AR?,46,321.5,100,46/321.5AR,45N329;2,,Data gap through center,,
AR?,45,220,50, 45/220AR,45N223,,CD-like,,
AR?,45,274.5,75, 45/274.5AR,45N265,,Irregular; on fracture belt extending NW-SE; exteNSive lava flows associated w/fracture belt,Keller Patera,
AR?,43,235.5,100, 43/235.5AR,45N244,,SSD on rim; CO-like,Mentha Mons?,
AR?,41.5,15.5,175, 41.5/15.5AR,45N011,40N018;1,Inner concentration of small shields,,
AR?,41.5,79.5,100, 41.5/79.5AR,45N074,,,,
AR?,41,317,40,41/317AR,45N329;2,,On radial structure associated w/38/322.5SFC,,
AR?,39,319,60,39/319AR,45N329;2,,Located on radial structure associated w/38/322.5SFC,,
AR?,35,272,75x60, 35/272AR,30N279,35N270;1,Located on well-defined lineameSFCt belt; possible associated Radar bright radial flows,,
AR?,23.5,21.5,100x80, 23.5/21.5AR,30N027,,Extended circular features; elongated perpendicular to thru-going fractures,,
AR?,21,200,35, 21/200AR,15N197,20N198;1,Small caldera?; part of general area of at least 3 AR ,,
AR?,17,56,100ea, 17/56AR,15N060,15N054;201,"""Doublet"" aligned along NW trend fracture belt",,
AR?,17,56,100ea, 17/56AR,15N060,15N054;201,"""Doublet"" aligned along NW trend fracture belt",,
AR?,13.5,291.5,70, 13.5/291.5AR,15N283,,Concentric area w/interior 15 km depression?; radial structures extend dominantly NE and S,,
AR?,3,280,80, 3/280AR,00N283,05N284;1,Part of a triplet-AR w/AR 2.5/280.5 and 2.5/208,,
AR?,-2,74,100, -2/74AR,00N077,00N076;1,SFC-like radiating fractures; surrounded by larger ovoid structure [0/74.5CO],,
AR?,-2,146,150, -2/146AR,00N146,,Central SF; CO-like concentric structure,[Hepat Corona],"CO, Ref 1"
AR?,-16.5,292.5,150, -16.5/297AR,15S300,,CO-like morphology; old(?) and partially inundated by plains(?); concentric structural pattern; SSD(2) on margin; small; shields interior,,"CO, Ref 1"
AR?,-19,250.5,150, -19/250.5CO,15S249,20S121;1,Double ring; small AR? on east margin,,
AR?,-25,30,20, -25/30AR,30S027,,Each is 20 km diam w/radiating fractures 50 km,,
AR?,-25,30,20, -25/30AR,30S027,,Each is 20 km diam w/radiating fractures 50 km,,
AR?,-37,36,150x100, -37/36AR,30S027,35S250;1,"Double ring, interior shields; CO-like",[Inanna Corona],"CO, Ref 1"
AR?,-37,49,100, -37/49AR,30S045,,Interior SF,,
AR?,-38,23.5,100, -38/23.5AR,45S032,,"Circular, SF in interior",[Ninhursag Corona],"CO, Ref 1"
AR?,-53,41,100x180, -53/41AR,60S042,,radial fractures interior; no strong volcanism associated; some concentric fractures,,
AR?,-60.5,166,100, -60.5/166AR,60S153;201,,Central SF; locus for radial fractures; may be source of -62.5/163LC,,
CD,66.5,60,60, 66.5/60CD,60N042,,"Irregular ""scalloped"" rim",,
CD,64.5,335,225x150, 64.5/335CD,60N347,75N313;1,,Anning Patera(?),
CD,61.5,340,70, 61.5/340CD,60N347,,Margin of Lakshmi;a few small shields on margin,Boadicea Patera,
CD,57,95,75-80, 57/95CD,60N097,60N344;1,"Similar to CD at 52.5/96.5, but thru-fractures",,
CD,52.5,96.5,75, 52.5/96.5CD,60N097,,"Central Radar darker floor, circular",,
CD,49.5,334.5,60x40, 49.5/334.5CD,45N329,,"Elongate, possibly two overlapping CD's; Radar bright radial flows extend short distance to NNW",Sachs Patera,
CD,48,33,25,48/33CD,45N032;201,50N197;1,Inner pit 12 km; surrounding fractures to 50 km,Anthony Patera,
CD,46,216,20ea, 46/217CD,45N223,55N337;1,Doublet,,
CD,46,216,20ea, 46/217CD,45N223,,Doublet,,
CD,45.5,31.5,60,45.5/31.5CD,45N032;201,,,,
CD,45.5,219.5,50, 45.5/219.5CD,45N223,,Multi-concentric margin,,
CD,44.5,31.5,40,44.5/31.5CD,45N032;201,,Elongate; associated flows,,
CD,39.5,79,100x30, 39.5/79CD,45N074,,Associated radar dark plains embay tessera,Eliot Patera,
CD,38.5,205,30, 38.5/205CD,45N202,,,,
CD,32,305,80x60, 32/305CD,30N297,,Several SSD on western margin,,
CD,31,218,<20, 31/218CD,30N225,,Radar bright rim; radar dark floor; may have an associated edifice(?),,
CD,29.5,227.5,80, 29.5/257.5CD,30N225,,Double ring; inner one is 15 km in diam,,
CD,26.5,234,100, 26.5/234CD,30N225,,Multi-ring concentric pattern,,"CO, Ref 1"
CD,20,247,60, 20/247CD,15N249,,Circular; radial Radar bright flows to north,,
CD,19.5,123,≤75, 19.5/123CD,15N129,25N211;1,Nested Calderas ,[Nintu Corona],
CD,19.5,123,≤75, 19.5/123CD,15N129,,Nested Calderas ,,"CO, Ref 1"
CD,19.5,123,≤75, 19.5/123CD,15N129,,Nested Calderas ,,"CO, Ref 1"
CD,17.5,218.5,30, 17.5/218.5CD,15N215,,Multi-concentric; center ~10 km; Radar bright aureole to diam of ~50 km,,
CD,16,311,60, 16/311CD,15N317,,60 km outer and 15 km inner w/Radar dark floor; very circular; concentric surrounding graben; no apparent associated flows,,
CD,15,135,75, 15/135CD,15N129,15N220;1,Partially buried,,
